BRCODE,BRANCH_NAME,CIRCD,CIRCLE,NETWORK,MODCD,MODULE,REGION,POPCD,POPULATION,STATECD,STATE,DISTCD,DISTRICT,MICR,CENTRECD,CENTERNAME
1,CALCUTTA MAIN BRANCH,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002021,1000009,KOLKATA
4,ALIPORE,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002002,1000009,KOLKATA
5,ALIPUR DUARS,1,KOLKATA,3,4,SILIGURI,6,2,Semi-Urban,44,WEST BENGAL,18,JALPAIGURI,736002501,1340005,ALIPURDUAR
8,ARAMBAGH,1,KOLKATA,2,5,HOWRAH,5,2,Semi-Urban,44,WEST BENGAL,14,HOOGLY,712002102,1070155,ARAMBAG
11,ASANSOL,1,KOLKATA,3,1,BURDWAN,9,3,Urban,44,WEST BENGAL,6,BURDWAN,713002100,1200007,ASANSOL
18,BALLYGUNGE,1,KOLKATA,2,6,SOUTH 24 PARGANAS,9,4,Metro,44,WEST BENGAL,8,KOLKATA,700002010,1000009,KOLKATA
20,BALURGHAT,1,KOLKATA,3,4,SILIGURI,5,3,Urban,44,WEST BENGAL,33,DAKSHIN DINAJPUR,733002102,1310006,BALURGHAT
22,BANKURA,1,KOLKATA,3,1,BURDWAN,3,3,Urban,44,WEST BENGAL,2,BANKURA,722002002,1150006,BANKURA
24,BARASAT,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002184,1010027,BARASAT
29,BARRACKPORE,1,KOLKATA,1,3,BIDHAN-NAGAR,3,2,Semi-Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002214,1010175,NEW BARRACKPUR
30,BASIRHAT,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,743002101,1010186,BASIRHAT
34,BERHAMPORE W.BENGAL,1,KOLKATA,1,3,BIDHAN-NAGAR,2,3,Urban,44,WEST BENGAL,24,MURSHIDABAD,742002001,1260006,BAHARAMPUR
40,BHOWANIPORE,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002016,1000009,KOLKATA
44,BISHNUPUR,1,KOLKATA,3,1,BURDWAN,3,2,Semi-Urban,44,WEST BENGAL,2,BANKURA,722002501,1150045,BISHNUPUR
47,BONGAON,1,KOLKATA,1,3,BIDHAN-NAGAR,6,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002537,1010386,BANGAON
48,BURDWAN,1,KOLKATA,3,1,BURDWAN,9,3,Urban,44,WEST BENGAL,6,BURDWAN,713002101,1200017,BARDDHAMAN
49,BURNPUR,1,KOLKATA,3,1,BURDWAN,4,3,Urban,44,WEST BENGAL,6,BURDWAN,713002899,1200007,ASANSOL
50,BURRA BAZAR,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002019,1000009,KOLKATA
53,CHANDERNAGAR,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002222,1070016,CHANDANNAGAR
56,CHINSURAH,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002229,1070026,HUGLI-CHINSURAH
57,CONTAI,1,KOLKATA,2,5,HOWRAH,4,2,Semi-Urban,44,WEST BENGAL,29,PURBA MEDINIPUR,721002002,1110415,CONTAI
58,COOCH BEHAR,1,KOLKATA,3,4,SILIGURI,6,2,Semi-Urban,44,WEST BENGAL,10,COOCH BEHAR,736002010,1360005,KOCH BIHAR
63,DARJEELING,1,KOLKATA,3,4,SILIGURI,3,3,Urban,44,WEST BENGAL,12,DARJEELING,734002101,1320016,DARJILING
70,DIAMOND HARBOUR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,5,2,Semi-Urban,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002338,1030054,DIAMOND HARBOUR
74,DURGAPUR,1,KOLKATA,3,1,BURDWAN,4,3,Urban,44,WEST BENGAL,6,BURDWAN,713002201,1200037,DURGAPUR
91,HOWRAH,1,KOLKATA,2,5,HOWRAH,1,4,Metro,44,WEST BENGAL,16,HOWRAH,700002127,1100009,HAORA
93,JADAVPUR UNIVERSITY,1,KOLKATA,2,6,SOUTH 24 PARGANAS,9,4,Metro,44,WEST BENGAL,8,KOLKATA,700002048,1000009,KOLKATA
95,JALPAIGURI,1,KOLKATA,3,4,SILIGURI,3,3,Urban,44,WEST BENGAL,18,JALPAIGURI,735002095,1340016,JALPAIGURI
98,JANGIPUR,1,KOLKATA,1,3,BIDHAN-NAGAR,1,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,741002601,1260055,JANGIPUR
103,JHARGRAM,1,KOLKATA,2,5,HOWRAH,6,2,Semi-Urban,44,WEST BENGAL,22,PASCHIM MEDINIPUR,721002890,1120055,JHARGRAM
105,KALIMPONG,1,KOLKATA,3,4,SILIGURI,3,2,Semi-Urban,44,WEST BENGAL,12,DARJEELING,734002601,1320024,KALIMPONG
106,KALNA,1,KOLKATA,3,1,BURDWAN,1,2,Semi-Urban,44,WEST BENGAL,6,BURDWAN,713002109,1200125,KALNA
111,KATWA,1,KOLKATA,3,1,BURDWAN,5,2,Semi-Urban,44,WEST BENGAL,6,BURDWAN,713002111,1200135,KATWA
122,KRISHNAGAR,1,KOLKATA,1,3,BIDHAN-NAGAR,5,3,Urban,44,WEST BENGAL,26,NADIA,741002008,1240006,KRISHNANAGAR
123,KURSEONG,1,KOLKATA,3,4,SILIGURI,3,2,Semi-Urban,44,WEST BENGAL,12,DARJEELING,734002602,1320034,KURSEONG
129,MALDA,1,KOLKATA,3,4,SILIGURI,1,2,Semi-Urban,44,WEST BENGAL,20,MALDA,732002102,1280025,OLD MALDAH
132,MIDNAPORE,1,KOLKATA,2,5,HOWRAH,6,3,Urban,44,WEST BENGAL,22,PASCHIM MEDINIPUR,721002302,1120016,MEDINIPUR
144,NETAJI SUBHAS ROAD BR.,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002070,1000009,KOLKATA
150,PARK STREET,1,KOLKATA,1,2,KOLKATA,9,4,Metro,44,WEST BENGAL,8,KOLKATA,700002078,1000009,KOLKATA
156,PORT BLAIR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,1,3,Urban,76,ANDAMAN AND NICOBAR,2,SOUTH ANDAMAN,744002001,1940005,PORT BLAIR
160,PURULIA,1,KOLKATA,3,1,BURDWAN,6,3,Urban,44,WEST BENGAL,28,PURULIA,723002002,1170006,PURULIYA
162,RAIGANG,1,KOLKATA,3,4,SILIGURI,5,3,Urban,44,WEST BENGAL,32,UTTAR DINAJPUR,733002202,1300016,RAIGANJ
165,RAMPURHAT,1,KOLKATA,3,1,BURDWAN,2,2,Semi-Urban,44,WEST BENGAL,4,BIRBHUM,731002102,1220035,RAMPURHAT
166,RANAGHAT,1,KOLKATA,1,3,BIDHAN-NAGAR,5,2,Semi-Urban,44,WEST BENGAL,26,NADIA,741002202,1240045,RANAGHAT
176,SANTIPORE,1,KOLKATA,1,3,BIDHAN-NAGAR,5,3,Urban,44,WEST BENGAL,26,NADIA,741002404,1240026,SANTIPUR
178,SERAMPORE,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002181,1070046,SERAMPORE
180,SHAMBAZAR,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002092,1000009,KOLKATA
184,SILIGURI,1,KOLKATA,3,4,SILIGURI,2,3,Urban,44,WEST BENGAL,12,DARJEELING,734002001,1320007,SILIGURI
191,SURI,1,KOLKATA,3,1,BURDWAN,2,2,Semi-Urban,44,WEST BENGAL,4,BIRBHUM,731002302,1220055,SURI
193,TAMLUK,1,KOLKATA,2,5,HOWRAH,4,2,Semi-Urban,44,WEST BENGAL,29,PURBA MEDINIPUR,721002202,1111544,TAMLUK
199,ULUBERIA,1,KOLKATA,2,5,HOWRAH,1,3,Urban,44,WEST BENGAL,16,HOWRAH,700002243,1100097,ULUBERIA
202,KHARAGPUR,1,KOLKATA,2,5,HOWRAH,3,3,Urban,44,WEST BENGAL,22,PASCHIM MEDINIPUR,721002103,1120006,KHARAGPUR
205,NEW ALIPORE,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002071,1000009,KOLKATA
209,DINHATA,1,KOLKATA,3,4,SILIGURI,6,2,Semi-Urban,44,WEST BENGAL,10,COOCH BEHAR,736002502,1360014,DINHATA
218,FARAKKA,1,KOLKATA,1,3,BIDHAN-NAGAR,1,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,741002602,1260114,FARAKKA
225,TRIBENI,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,,1070056,BANSBERIA
228,GHATAL,1,KOLKATA,2,5,HOWRAH,6,2,Semi-Urban,44,WEST BENGAL,22,PASCHIM MEDINIPUR,721002701,1120025,GHATAL
231,RANIGANJ,1,KOLKATA,3,1,BURDWAN,4,3,Urban,44,WEST BENGAL,6,BURDWAN,713002091,1200076,RANIGANJ
232,GANGTOK,1,KOLKATA,3,4,SILIGURI,4,3,Urban,36,SIKKIM,2,EAST SIKKIM,737002002,1960004,GANGTOK
237,KANDI,1,KOLKATA,1,3,BIDHAN-NAGAR,1,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,741002603,1260075,KANDI
241,CHITTARANJAN,1,KOLKATA,3,1,BURDWAN,6,2,Semi-Urban,44,WEST BENGAL,6,BURDWAN,713002701,1200024,CHITTARANJAN
245,ISLAMPUR,1,KOLKATA,3,4,SILIGURI,5,1,Rural,44,WEST BENGAL,32,UTTAR DINAJPUR,733002601,1300061,ISLAMPUR
1054,CHOWRINGHEE,1,KOLKATA,1,2,KOLKATA,9,4,Metro,44,WEST BENGAL,8,KOLKATA,700002026,1000009,KOLKATA
1082,KALYANI,1,KOLKATA,1,3,BIDHAN-NAGAR,6,3,Urban,44,WEST BENGAL,26,NADIA,700002319,1240165,KALYANI
1087,LALBAGH,1,KOLKATA,1,3,BIDHAN-NAGAR,2,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,741002640,1260094,MURSHIDABAD
1122,MIDDLETON ROW,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002064,1000009,KOLKATA
1139,INDIA EXCHANGE PL EXTN,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002047,1000009,KOLKATA
1140,C I T ROAD,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002020,1000009,KOLKATA
1204,JORASANKO,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002050,1000009,KOLKATA
1218,BIPLABI R B BASU RD,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002018,1000009,KOLKATA
1295,BAURIA,1,KOLKATA,2,5,HOWRAH,1,1,Rural,44,WEST BENGAL,16,HOWRAH,700002244,1100131,BAURIA
1296,DHUPGURI,1,KOLKATA,3,4,SILIGURI,3,2,Semi-Urban,44,WEST BENGAL,18,JALPAIGURI,735002129,1340024,DHUPGURI
1297,FALAKATA,1,KOLKATA,3,4,SILIGURI,6,2,Semi-Urban,44,WEST BENGAL,18,JALPAIGURI,735002143,3830183,"FALAKATA	 "
1298,MAHISHADAL,1,KOLKATA,2,5,HOWRAH,4,1,Rural,44,WEST BENGAL,29,PURBA MEDINIPUR,721002006,1111001,MAHISHADAL
1299,AURANGABAD WB,1,KOLKATA,1,3,BIDHAN-NAGAR,1,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,741002604,1260024,AURANGABAD
1300,GAYESHPUR GOVT COLONY,1,KOLKATA,1,3,BIDHAN-NAGAR,6,2,Semi-Urban,44,WEST BENGAL,26,NADIA,741002234,1240065,GAYESPUR
1301,BIRNAGAR,1,KOLKATA,1,3,BIDHAN-NAGAR,5,1,Rural,44,WEST BENGAL,26,NADIA,741002127,1240272,"BIRNAGAR (P)	 "
1302,BAGULA,1,KOLKATA,1,3,BIDHAN-NAGAR,5,2,Semi-Urban,44,WEST BENGAL,26,NADIA,741002503,1240114,BAGULA
1303,PANCHUR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,3,Urban,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002163,1030297,MAHESHTALA
1319,KAKDWIP,1,KOLKATA,2,6,SOUTH 24 PARGANAS,5,2,Semi-Urban,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002568,1030173,KAKDWIP
1329,MADHYAMGRAM,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002173,1011886,MADHYAMGRAM
1356,ALAMBAZAR,1,KOLKATA,1,3,BIDHAN-NAGAR,3,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002111,1010157,BARANAGAR
1357,THAKURPUKUR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,5,4,Metro,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002147,1000009,KOLKATA
1359,RAMRAJATALA,1,KOLKATA,2,5,HOWRAH,1,4,Metro,44,WEST BENGAL,16,HOWRAH,700002139,1100009,HAORA
1360,HALDIA PORT,1,KOLKATA,2,5,HOWRAH,4,3,Urban,44,WEST BENGAL,29,PURBA MEDINIPUR,721002011,1110656,HALDIA
1366,MEMARI,1,KOLKATA,3,1,BURDWAN,1,2,Semi-Urban,44,WEST BENGAL,6,BURDWAN,713002107,1200234,MEMARI
1377,LILUAH,1,KOLKATA,2,5,HOWRAH,1,3,Urban,44,WEST BENGAL,16,HOWRAH,700002134,1100017,BALLY
1382,PLASSEY,1,KOLKATA,1,3,BIDHAN-NAGAR,5,2,Semi-Urban,44,WEST BENGAL,26,NADIA,741002605,1240193,PLASSEY
1400,BOINCHEE,1,KOLKATA,2,5,HOWRAH,2,2,Semi-Urban,44,WEST BENGAL,14,HOOGLY,700002504,1070233,"BAINCHI	 "
1401,DALHOUSIE SQUARE,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002029,1000009,KOLKATA
1402,GARDEN REACH,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002126,1000009,KOLKATA
1403,UTTARPARA,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002177,1070206,UTTARPARA KOTRUNG
1404,KAMARHATI,1,KOLKATA,1,3,BIDHAN-NAGAR,3,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002132,1011337,KAMARHATI
1405,DHAKURIA,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002030,1000009,KOLKATA
1414,SALKIA,1,KOLKATA,2,5,HOWRAH,1,4,Metro,44,WEST BENGAL,16,HOWRAH,700002141,1100009,HAORA
1447,HASIMARA,1,KOLKATA,3,4,SILIGURI,6,1,Rural,44,WEST BENGAL,18,JALPAIGURI,,1340081,HASIMARA
1448,CHANGRABANDHA,1,KOLKATA,3,4,SILIGURI,3,1,Rural,44,WEST BENGAL,10,COOCH BEHAR,736002503,1360031,CHANGRA BANDHA
1449,HARISHCHANDRAPUR,1,KOLKATA,3,4,SILIGURI,1,2,Semi-Urban,44,WEST BENGAL,20,MALDA,732002501,1280003,BHADO
1450,GARFA,1,KOLKATA,2,6,SOUTH 24 PARGANAS,3,4,Metro,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002125,1000009,KOLKATA
1451,RAJPUR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,2,3,Urban,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002164,1030097,RAJPUR SONARPUR
1486,KASBA,1,KOLKATA,2,6,SOUTH 24 PARGANAS,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002055,1000009,KOLKATA
1487,KANCHRAPARA,1,KOLKATA,1,3,BIDHAN-NAGAR,6,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,743002009,1011446,KANCHRAPARA
1488,BAGUIATI,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002112,1010286,BIDHAN NAGAR
1489,BAKULTALA,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002118,1000009,KOLKATA
1490,BARUIPUR,1,KOLKATA,2,6,SOUTH 24 PARGANAS,2,2,Semi-Urban,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002155,1030024,BARUIPUR
1500,AJODHYA,1,KOLKATA,2,5,HOWRAH,1,1,Rural,44,WEST BENGAL,16,HOWRAH,700002505,1100282,AJODHYA
1503,HATIBAGAN,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002044,1000009,KOLKATA
1504,SUBODH MALLICK SQUARE,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002098,1000009,KOLKATA
1505,SOUTHERN AVENUE,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002095,1000009,KOLKATA
1506,LAKE TOWN,1,KOLKATA,1,2,KOLKATA,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002133,1011187,SOUTHDUMDUM
1510,NAKTALA,1,KOLKATA,2,6,SOUTH 24 PARGANAS,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002068,1000009,KOLKATA
1514,DIGHA,1,KOLKATA,2,5,HOWRAH,4,1,Rural,44,WEST BENGAL,29,PURBA MEDINIPUR,721002901,1124461,"DIGHA	 "
1522,BEHALA,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,30,SOUTH 24 PARGANAS,700002115,1000009,KOLKATA
1552,SUREKALNA,1,KOLKATA,3,1,BURDWAN,1,1,Rural,44,WEST BENGAL,6,BURDWAN,713002601,1200312,SUREKALNA
1553,KOTULPUR ADB,1,KOLKATA,3,1,BURDWAN,3,1,Rural,44,WEST BENGAL,2,BANKURA,722002502,1150092,KOTULPUR
1554,HAMILTONGANJ,1,KOLKATA,3,4,SILIGURI,6,1,Rural,44,WEST BENGAL,18,JALPAIGURI,735002554,3830401,DAKSHIN LATABARI
1555,NANDIGRAM,1,KOLKATA,2,5,HOWRAH,4,1,Rural,44,WEST BENGAL,29,PURBA MEDINIPUR,721002703,1111171,NANDIGRAM
1556,F C I DURGAPUR,1,KOLKATA,3,1,BURDWAN,5,3,Urban,44,WEST BENGAL,6,BURDWAN,713002212,1200037,DURGAPUR
1557,SONAMUKHI,1,KOLKATA,3,1,BURDWAN,3,2,Semi-Urban,44,WEST BENGAL,2,BANKURA,722002503,1150024,SONAMUKHI
1564,RANGAT,1,KOLKATA,2,6,SOUTH 24 PARGANAS,1,1,Rural,76,ANDAMAN AND NICOBAR,3,NORTH & MIDDLE ANDAMAN,744002012,3010001,RANGAT
1580,NARKELDANGA,1,KOLKATA,1,2,KOLKATA,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002069,1000009,KOLKATA
1597,FORT WILLIAM,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002035,1000009,KOLKATA
1612,SALT LAKE,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002145,1010286,BIDHAN NAGAR
1643,HABRA,1,KOLKATA,1,3,BIDHAN-NAGAR,4,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002185,1010856,HABRA
1647,SOVABAZAR,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002096,1000009,KOLKATA
1648,RASH BEHARI AVENUE,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002086,1000009,KOLKATA
1649,HAZRA ROAD,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002045,1000009,KOLKATA
1651,VIVEKANANDA ROAD,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002107,1000009,KOLKATA
1652,BAGHBAZAR,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002007,1000009,KOLKATA
1653,NIMTALLAH,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002073,1000009,KOLKATA
1654,KARNAJORA,1,KOLKATA,3,4,SILIGURI,5,1,Rural,44,WEST BENGAL,32,UTTAR DINAJPUR,733002203,1300072,KARNAJORA
1715,MANICKTALA,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002062,1000009,KOLKATA
1719,TOLLYGUNGE,1,KOLKATA,2,6,SOUTH 24 PARGANAS,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002103,1000009,KOLKATA
1720,GARULIA,1,KOLKATA,1,3,BIDHAN-NAGAR,3,2,Semi-Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002236,1010805,GARULIA
1721,SALAR,1,KOLKATA,1,3,BIDHAN-NAGAR,1,2,Semi-Urban,44,WEST BENGAL,24,MURSHIDABAD,742002011,1260183,SALAR
1722,KALIGHAT,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002054,1000009,KOLKATA
1723,WELLESLEY PARK,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002108,1000009,KOLKATA
1742,ADRA,1,KOLKATA,3,1,BURDWAN,6,2,Semi-Urban,44,WEST BENGAL,28,PURULIA,723002501,1170014,ADRA
1744,ARAMBAGH ADB,1,KOLKATA,2,5,HOWRAH,5,2,Semi-Urban,44,WEST BENGAL,14,HOOGLY,712002103,1070155,ARAMBAG
1745,CHINSURAH ADB,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002220,1070026,HUGLI-CHINSURAH
1747,PAIKPARA,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002076,1000009,KOLKATA
1749,PARK CIRCUS,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002077,1000009,KOLKATA
1750,GREY STREET EXTN,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002042,1000009,KOLKATA
1753,COOCH BEHAR BAZAR,1,KOLKATA,3,4,SILIGURI,6,2,Semi-Urban,44,WEST BENGAL,10,COOCH BEHAR,736002003,1360005,KOCH BIHAR
1767,B K PAUL AVENUE,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002005,1000009,KOLKATA
1768,ELGIN ROAD,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002031,1000009,KOLKATA
1769,SHEORAPHULI,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002195,1070066,BAIDYABATI
1770,ANANDAPURI,1,KOLKATA,1,3,BIDHAN-NAGAR,3,2,Semi-Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002203,1010175,NEW BARRACKPUR
1771,RISHRA,1,KOLKATA,2,5,HOWRAH,2,3,Urban,44,WEST BENGAL,14,HOOGLY,700002187,1070126,RISHRA
1772,SITALATALA,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002093,1000009,KOLKATA
1792,ELLIOT ROAD,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002032,1000009,KOLKATA
1796,SODEPUR,1,KOLKATA,1,3,BIDHAN-NAGAR,3,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002167,1011497,PANIHATI
1797,ICHAPUR,1,KOLKATA,1,3,BIDHAN-NAGAR,3,1,Rural,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002204,1011073,ICHAPUR
1798,BELIAGHATA,1,KOLKATA,1,2,KOLKATA,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002014,1000009,KOLKATA
1799,TRIANGULAR PARK,1,KOLKATA,1,2,KOLKATA,1,4,Metro,44,WEST BENGAL,8,KOLKATA,700002105,1000009,KOLKATA
1800,AMHERST STREET,1,KOLKATA,1,2,KOLKATA,2,4,Metro,44,WEST BENGAL,8,KOLKATA,700002003,1000009,KOLKATA
1801,TOLLYGUNGE CIRCULAR RD,1,KOLKATA,2,6,SOUTH 24 PARGANAS,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002102,1000009,KOLKATA
1802,LAKE GARDENS,1,KOLKATA,2,6,SOUTH 24 PARGANAS,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002059,1000009,KOLKATA
1806,KALIYAGUNJ ADB,1,KOLKATA,3,4,SILIGURI,5,2,Semi-Urban,44,WEST BENGAL,32,UTTAR DINAJPUR,,1300034,KALIAGANJ
1822,MAMC DURGAPUR,1,KOLKATA,3,1,BURDWAN,4,3,Urban,44,WEST BENGAL,6,BURDWAN,713002032,1200037,DURGAPUR
1823,NAIHATI,1,KOLKATA,1,3,BIDHAN-NAGAR,6,3,Urban,44,WEST BENGAL,31,NORTH 24 PARGANAS,700002235,1011667,NAIHATI
1830,ENTALLY,1,KOLKATA,1,2,KOLKATA,3,4,Metro,44,WEST BENGAL,8,KOLKATA,700002033,1000009,KOLKATA
1831,ULTADANGA,1,KOLKATA,1,2,KOLKATA,4,4,Metro,44,WEST BENGAL,8,KOLKATA,700002106,1000009,KOLKATA
1865,TARKESWAR,1,KOLKATA,2,5,HOWRAH,5,2,Semi-Urban,44,WEST BENGAL,14,HOOGLY,712002202,1070394,TARAKESWAR
